Facility,Time,Commodity,Flow
m1,1,"('l1', 'k2')",6.6306678
m1,1,"('l1', 'k3')",12.836433
m1,1,"('l1', 'k4')",13.085234
m1,1,"('l1', 'k5')",11.256284
m1,1,"('l2', 'k2')",13.857019
m1,1,"('l2', 'k3')",12.591175
m1,1,"('l2', 'k4')",6.8110506
m1,2,"('l1', 'k2')",8.8527255
m1,2,"('l1', 'k3')",3.5972776
m1,2,"('l1', 'k5')",2.8514442
m1,2,"('l2', 'k2')",10.699991
m1,2,"('l2', 'k3')",11.45701
m1,2,"('l2', 'k4')",12.233406
m1,2,"('l2', 'k5')",11.806708
m2,1,"('l1', 'k1')",6.8091714
m2,1,"('l1', 'k3')",7.427344
m2,1,"('l1', 'k4')",5.0818342
m2,1,"('l1', 'k5')",8.600685
m2,1,"('l2', 'k1')",6.4604175
m2,1,"('l2', 'k3')",13.571034
m2,2,"('l1', 'k1')",7.1359356
m2,2,"('l1', 'k3')",13.583298
m2,2,"('l1', 'k4')",10.337853
m2,2,"('l1', 'k5')",9.3445859
m2,2,"('l2', 'k1')",6.8719257
m2,2,"('l2', 'k3')",11.271673
m2,2,"('l2', 'k5')",12.294554
m3,1,"('l1', 'k1')",3.216929
m3,1,"('l1', 'k2')",14.4239
m3,1,"('l1', 'k4')",13.962256
m3,1,"('l1', 'k5')",6.7803467
m3,1,"('l2', 'k1')",10.942625
m3,1,"('l2', 'k2')",5.4262963
m3,1,"('l2', 'k4')",6.5496754
m3,1,"('l2', 'k5')",12.955698
m3,2,"('l1', 'k1')",5.1090705
m3,2,"('l1', 'k2')",9.8027704
m3,2,"('l1', 'k4')",6.2807294
m3,2,"('l1', 'k5')",13.192242
m3,2,"('l2', 'k1')",11.033858
m3,2,"('l2', 'k2')",14.658762
m3,2,"('l2', 'k4')",11.116636
m4,1,"('l1', 'k2')",6.1794287
m4,1,"('l1', 'k5')",13.698608
m4,1,"('l2', 'k1')",5.868984
m4,1,"('l2', 'k2')",9.7852156
m4,1,"('l2', 'k3')",13.377898
m4,1,"('l2', 'k5')",2.0490172
m4,2,"('l1', 'k2')",9.0832122
m4,2,"('l1', 'k3')",12.126229
m4,2,"('l1', 'k5')",8.8184415
m4,2,"('l2', 'k1')",5.2389483
m4,2,"('l2', 'k2')",8.8530471
m4,2,"('l2', 'k3')",6.4210886
m4,2,"('l2', 'k5')",12.938129
m5,1,"('l1', 'k1')",12.18084
m5,1,"('l1', 'k2')",9.8370248
m5,1,"('l1', 'k3')",14.802305
m5,1,"('l1', 'k4')",8.6257149
m5,1,"('l2', 'k1')",10.372969
m5,1,"('l2', 'k2')",11.77934
m5,1,"('l2', 'k3')",12.401806
m5,2,"('l1', 'k1')",12.998605
m5,2,"('l1', 'k2')",10.539428
m5,2,"('l1', 'k3')",13.705216
m5,2,"('l1', 'k4')",9.0920468
m5,2,"('l2', 'k4')",13.878846
m6,1,"('l1', 'k2')",11.371465
m6,1,"('l1', 'k3')",13.769079
m6,1,"('l1', 'k4')",6.6563906
m6,1,"('l2', 'k1')",7.6112551
m6,1,"('l2', 'k2')",0.8252204
m6,1,"('l2', 'k4')",5.8452374
m6,1,"('l2', 'k5')",14.908108
m6,2,"('l1', 'k1')",1.2658735
m6,2,"('l1', 'k2')",13.75354
m6,2,"('l1', 'k3')",5.3926859
m6,2,"('l1', 'k4')",6.1253882
m6,2,"('l1', 'k5')",7.9084538
m6,2,"('l2', 'k1')",14.02993
m6,2,"('l2', 'k2')",3.8567616
m6,2,"('l2', 'k3')",5.2025478
m6,2,"('l2', 'k4')",12.619481
m6,2,"('l2', 'k5')",8.1637426
m10,1,"('l1', 'k1')",6.7092751
m10,1,"('l1', 'k2')",9.9389575
m10,1,"('l1', 'k3')",7.3851982
m10,1,"('l1', 'k4')",10.168132
m10,1,"('l1', 'k5')",5.9924406
m10,1,"('l2', 'k1')",7.301031
m10,1,"('l2', 'k3')",8.3599561
m10,1,"('l2', 'k4')",11.80275
m10,1,"('l2', 'k5')",12.342259
m10,2,"('l1', 'k1')",8.8515249
m10,2,"('l1', 'k2')",10.299957
m10,2,"('l1', 'k3')",6.1340585
m10,2,"('l2', 'k1')",8.987443
m10,2,"('l2', 'k2')",14.127683
m10,2,"('l2', 'k3')",9.5097169
m10,2,"('l2', 'k4')",5.6670974
m10,2,"('l2', 'k5')",14.990496
